"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2020-01-09,2020-02-06,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-10-25,2020-10-27,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-25,2019-08-28,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-06,2019-06-21,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-09-22,2019-09-25,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-21,2019-08-29,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-11,2019-01-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-12-06,2019-12-13,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-12-07,2019-12-13,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-06,2019-10-11,"White","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-04-03,2019-04-05,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-28,2019-08-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-29,2019-01-31,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-01,2019-11-07,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-14,2019-01-16,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-08,2019-06-11,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-03-09,2020-03-19,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-28,2019-02-06,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-01-29,2019-10-29,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-23,2019-06-25,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-01,2019-05-08,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-01,2019-03-03,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-05,2019-03-07,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-09,2019-03-11,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-08,2019-07-23,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
